Signi70,Sp70,Sp70/Sbg70,Sconv70,Stot70,FWHMa70,FWHMb070,PA070,Signi160,Sp160,Sp160/Sbg160,Sconv160,Stot160,FWHMa160,FWHMb160,PA160,Signi250,Sp250,Sp250/Sbg250,Sconv250,Stot250,FWHMa250,FWHMb250,PA250,Signi350,Sp350,Sp350/Sbg350,Sconv350,Stot350,FWHMa350,FWHMb350,PA350,Signi500,Sp500,Sp500/Sbg500,Stot500,FWHMa500,FWHMb500,PA500,SigniNH2,NpH2,NpH2/NbgH2,NconvH2,NbgH2,FWHMaNH2,FWHMbNH2,PANH2,NSED,Region,Coretype
0.3,-0.00392,-0.03,-0.0209,0.0597,85.0,10.0,54.0,21.2,0.582,0.57,2.19,4.81,41.0,27.0,41.0,21.7,0.796,0.87,1.52,3.0,40.0,26.0,59.0,19.4,0.608,0.74,0.78,1.35,42.0,27.0,56.0,15.9,0.509,0.79,0.699,44.0,36.0,56.0,20.2,1.0,1.06,0.5,1.0,40.0,26.0,54.0,4.0,Orion,1
0.0,0.00426,0.0,0.0475,-0.0052,41.0,38.0,118.0,0.0,0.0315,0.0,0.152,0.407,45.0,40.0,84.0,9.9,0.156,0.29,0.232,0.336,39.0,18.0,30.0,8.5,0.171,0.21,0.2,0.254,36.0,25.0,46.0,0.0,0.0957,0.0,0.0851,42.0,36.0,31.0,14.1,1.4,0.28,2.2,26.8,36.0,18.0,24.0,4.0,Taurus,1
2.3,-0.031,1.079,-0.26,-0.046,55.0,22.5,157.0,0.0,0.075,0.762,0.39,0.35,58.5,49.1,85.1,8.1,0.16,1.026,0.25,0.48,51.5,19.9,52.1,8.9,0.2,1.144,0.23,0.41,48.6,24.9,49.3,8.3,0.14,0.841,0.19,51.2,36.3,52.8,10.8,7.7,0.5,0.1,15.87,64.8,21.3,53.1,3.0,Cepheus,1
0.0,0.0159,0.24,0.166,0.184,41.0,33.0,11.0,0.0,0.106,0.11,0.401,0.609,33.0,32.0,-35.0,6.8,0.244,0.18,0.308,0.464,23.0,21.0,-42.0,7.2,0.211,0.14,0.243,0.231,35.0,25.0,40.0,0.0,0.125,0.08,0.0738,36.0,36.0,67.0,10.6,0.7,0.19,0.2,4.0,23.0,18.0,-42.0,3.0,Orion,1
158.7,1.38,0.1,13.3,-2.63,45.0,27.0,78.0,59.4,1.64,0.07,8.62,1.19,61.0,40.0,76.0,28.0,1.9,0.15,5.14,11.4,55.0,44.0,27.0,14.9,0.452,0.05,0.649,1.13,58.0,30.0,12.0,9.8,0.0779,0.01,0.0807,51.0,36.0,21.0,10.0,0.7,0.16,0.5,4.0,55.0,47.0,15.0,4.0,Orion,1
0.0,0.024,0.39,0.19,0.017,33.0,24.0,40.0,8.7,0.27,0.31,0.55,0.54,15.6,23.0,18.0,-89.0,0.25,0.18,0.29,0.33,25.0,18.0,89.0,9.8,0.14,0.1,0.14,0.1,25.0,25.0,84.0,0.0,3.5e-19,0.0,-0.00058,36.0,36.0,70.0,10.0,0.18,0.05,0.1,3.3,27.0,18.0,-71.0,3.0,Lupus,1
0.0,0.0211,0.11,0.139,0.0195,25.0,24.0,21.0,20.4,0.57,0.2,1.17,1.42,33.0,14.0,129.0,21.0,0.746,0.19,1.03,0.926,33.0,18.0,121.0,16.2,0.495,0.14,0.576,0.425,36.0,25.0,121.0,0.0,0.0797,0.02,0.0438,36.0,36.0,109.0,23.2,1.0,0.24,0.5,6.0,35.0,18.0,117.0,3.0,Orion,1
0.0,0.0038,0.53,0.034,-0.066,37.5,30.4,168.4,0.0,0.088,0.363,0.34,0.49,40.1,33.0,138.7,17.5,0.23,0.572,0.29,0.47,31.6,18.6,149.0,15.8,0.24,0.554,0.25,0.34,33.4,24.9,142.5,11.5,0.15,0.381,0.14,42.0,36.3,152.1,16.5,12.0,0.6,0.1,19.48,27.8,18.2,152.2,3.0,Cepheus,1
1.5,-0.0117,-0.24,-0.102,0.149,44.0,23.0,210.0,0.0,0.064,0.05,0.337,0.583,56.0,42.0,116.0,0.0,0.25,0.09,0.494,0.814,55.0,23.0,149.0,6.4,0.396,0.16,0.528,0.901,53.0,27.0,148.0,7.0,0.449,0.19,0.566,55.0,36.0,151.0,11.1,2.0,0.31,1.0,7.0,48.0,26.0,162.0,2.0,Aquilia,1
0.0,0.014,0.52,0.13,0.37,35.0,31.0,88.0,0.0,0.15,0.27,0.61,0.34,17.8,39.0,31.0,-48.0,0.18,0.28,0.23,0.28,29.0,18.0,-46.0,8.4,0.15,0.27,0.17,0.18,31.0,25.0,-49.0,13.8,0.11,0.22,0.13,47.0,36.0,-46.0,6.9,0.49,0.46,0.2,1.1,24.0,20.0,-51.0,3.0,Lupus,1
